Macrotrends Data Download

World Fertility Rate 1950-2023
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,5.009
1951-12-31,4.995,-0.28
1952-12-31,4.981,-0.28
1953-12-31,4.967,-0.28
1954-12-31,4.953,-0.28
1955-12-31,4.939,-0.28
1956-12-31,4.925,-0.28
1957-12-31,4.911,-0.28
1958-12-31,4.897,-0.29
1959-12-31,4.921,0.49
1960-12-31,4.945,0.49
1961-12-31,4.97,0.51
1962-12-31,4.994,0.48
1963-12-31,5.018,0.48
1964-12-31,5,-0.36
1965-12-31,4.981,-0.38
1966-12-31,4.963,-0.36
1967-12-31,4.944,-0.38
1968-12-31,4.926,-0.36
1969-12-31,4.835,-1.85
1970-12-31,4.744,-1.88
1971-12-31,4.653,-1.92
1972-12-31,4.562,-1.96
1973-12-31,4.471,-1.99
1974-12-31,4.349,-2.73
1975-12-31,4.227,-2.81
1976-12-31,4.105,-2.89
1977-12-31,3.983,-2.97
1978-12-31,3.861,-3.06
1979-12-31,3.806,-1.42
1980-12-31,3.752,-1.42
1981-12-31,3.697,-1.47
1982-12-31,3.643,-1.46
1983-12-31,3.588,-1.51
1984-12-31,3.558,-0.84
1985-12-31,3.528,-0.84
1986-12-31,3.499,-0.82
1987-12-31,3.469,-0.86
1988-12-31,3.439,-0.86
1989-12-31,3.352,-2.53
1990-12-31,3.265,-2.6
1991-12-31,3.179,-2.63
1992-12-31,3.092,-2.74
1993-12-31,3.005,-2.81
1994-12-31,2.959,-1.53
1995-12-31,2.914,-1.52
1996-12-31,2.868,-1.58
1997-12-31,2.823,-1.57
1998-12-31,2.777,-1.63
1999-12-31,2.752,-0.9
2000-12-31,2.727,-0.91
2001-12-31,2.701,-0.95
2002-12-31,2.676,-0.93
2003-12-31,2.651,-0.93
2004-12-31,2.638,-0.49
2005-12-31,2.624,-0.53
2006-12-31,2.611,-0.5
2007-12-31,2.597,-0.54
2008-12-31,2.584,-0.5
2009-12-31,2.571,-0.5
2010-12-31,2.557,-0.54
2011-12-31,2.544,-0.51
2012-12-31,2.53,-0.55
2013-12-31,2.517,-0.51
2014-12-31,2.507,-0.4
2015-12-31,2.497,-0.4
2016-12-31,2.488,-0.36
2017-12-31,2.478,-0.4
2018-12-31,2.468,-0.4
2019-12-31,2.458,-0.41
2020-12-31,2.448,-0.41
2021-12-31,2.438,-0.41
2022-12-31,2.428,-0.41
2023-12-31,2.418,-0.41
2024-12-31,2.41,-0.33
2025-12-31,2.401,-0.37
2026-12-31,2.393,-0.33
2027-12-31,2.384,-0.38
2028-12-31,2.376,-0.34
2029-12-31,2.367,-0.38
2030-12-31,2.358,-0.38
2031-12-31,2.35,-0.34
2032-12-31,2.341,-0.38
2033-12-31,2.332,-0.38
2034-12-31,2.323,-0.39
2035-12-31,2.313,-0.43
2036-12-31,2.304,-0.39
2037-12-31,2.294,-0.43
2038-12-31,2.285,-0.39
2039-12-31,2.277,-0.35
2040-12-31,2.269,-0.35
2041-12-31,2.261,-0.35
2042-12-31,2.253,-0.35
2043-12-31,2.245,-0.36
2044-12-31,2.238,-0.31
2045-12-31,2.231,-0.31
2046-12-31,2.223,-0.36
2047-12-31,2.216,-0.31
2048-12-31,2.209,-0.32
2049-12-31,2.203,-0.27
2050-12-31,2.196,-0.32
2051-12-31,2.19,-0.27
2052-12-31,2.183,-0.32
2053-12-31,2.177,-0.27
2054-12-31,2.17,-0.32
2055-12-31,2.164,-0.28
2056-12-31,2.157,-0.32
2057-12-31,2.151,-0.28
2058-12-31,2.144,-0.33
2059-12-31,2.138,-0.28
2060-12-31,2.131,-0.33
2061-12-31,2.125,-0.28
2062-12-31,2.118,-0.33
2063-12-31,2.112,-0.28
2064-12-31,2.106,-0.28
2065-12-31,2.099,-0.33
2066-12-31,2.093,-0.29
2067-12-31,2.086,-0.33
2068-12-31,2.08,-0.29
2069-12-31,2.074,-0.29
2070-12-31,2.068,-0.29
2071-12-31,2.063,-0.24
2072-12-31,2.057,-0.29
2073-12-31,2.051,-0.29
2074-12-31,2.046,-0.24
2075-12-31,2.041,-0.24
2076-12-31,2.037,-0.2
2077-12-31,2.032,-0.25
2078-12-31,2.027,-0.25
2079-12-31,2.022,-0.25
2080-12-31,2.017,-0.25
2081-12-31,2.012,-0.25
2082-12-31,2.007,-0.25
2083-12-31,2.002,-0.25
2084-12-31,1.997,-0.25
2085-12-31,1.993,-0.2
2086-12-31,1.988,-0.25
2087-12-31,1.984,-0.2
2088-12-31,1.979,-0.25
2089-12-31,1.975,-0.2
2090-12-31,1.97,-0.25
2091-12-31,1.966,-0.2
2092-12-31,1.961,-0.25
2093-12-31,1.957,-0.2
2094-12-31,1.953,-0.2
2095-12-31,1.949,-0.2
2096-12-31,1.945,-0.21
2097-12-31,1.941,-0.21
2098-12-31,1.937,-0.21
2099-12-31,1.933,-0.21
2100-12-31,1.929,-0.21
